"","origin_city_name","origin_lon","origin_lat","one"
"102","Flagstaff, AZ",-111.651302,35.1982836,1286
"103","Amarillo, TX",-101.8312969,35.2219971,3692
"104","Charlotte, NC",-80.8431267,35.2270869,149870
"105","San Luis Obispo, CA",-120.6596156,35.2827524,3818
"106","Bakersfield, CA",-119.0187125,35.3732921,2235
"107","Fort Smith, AR",-94.3985475,35.3859242,1383
"108","CONCORD, NC",-80.579511,35.4087517,292
"109","Oklahoma City, OK",-97.5164276,35.4675602,17167
"110","Asheville, NC",-82.5514869,35.5950581,4587
"111","Greenville, NC",-77.3663538,35.612661,99
"112","Santa Fe, NM",-105.937799,35.6869752,1456
"113","Raleigh/Durham, NC",-78.8636402,35.8991678,43547
"114","Knoxville, TN",-83.9207392,35.9606384,9194
"115","Fayetteville, AR",-94.1718542,36.082156,7510
"116","Greensboro/High Point, NC",-79.8296743,36.0899873,7847
"117","Stillwater, OK",-97.0583681,36.1156071,227
"118","Tulsa, OK",-95.992775,36.1539816,14779
"119","Nashville, TN",-86.7816016,36.1626638,61065
"120","Las Vegas, NV",-115.1398296,36.1699412,155112
"121","Bristol/Johnson City/Kingsport, TN",-82.1888089,36.595141,2052
"122","Monterey, CA",-121.8946761,36.6002378,2839
"123","Fresno, CA",-119.7871247,36.7377981,8843
"124","Norfolk, VA",-76.2858726,36.8507689,14663
"125","Liberal, KS",-100.920999,37.0430812,143
"126","Paducah, KY",-88.6000478,37.0833893,688
"127","Joplin, MO",-94.513281,37.0842271,466
"128","St. George, UT",-113.5684164,37.0965278,3030
"129","Newport News/Williamsburg, VA",-76.492778,37.131667,1663
"130","Springfield, MO",-93.2922989,37.2089572,4699
"131","Roanoke, VA",-79.9414266,37.2709704,1765
"132","Durango, CO",-107.8800667,37.27528,1926
"133","Cape Girardeau, MO",-89.5181476,37.3058839,255
"134","San Jose, CA",-121.8863286,37.3382082,51177
"135","Ashland, WV",-81.3526016,37.4084488,130
"136","Lynchburg, VA",-79.1422464,37.4137536,303
"137","Richmond, VA",-77.4360481,37.5407246,18166
"138","Mammoth Lakes, CA",-118.972079,37.648546,104
"139","Cedar City, UT",-113.0618931,37.6774769,623
"140","Wichita, KS",-97.330053,37.6871761,8713
"141","Owensboro, KY",-87.1111676,37.7719074,37
"142","San Francisco, CA",-122.4194155,37.7749295,177658
"143","Lewisburg, WV",-80.4456303,37.8017879,58
"144","Oakland, CA",-122.2711137,37.8043637,51222
"145","Stockton, CA",-121.2907796,37.9577016,223
"146","Evansville, IN",-87.5710898,37.9715592,2682
"147","Garden City, KS",-100.8726618,37.9716898,240
"148","Charlottesville, VA",-78.4766781,38.0293059,3270
"149","Lexington, KY",-84.5037164,38.0405837,6353
"150","Staunton, VA",-79.0716958,38.149576,74
"151","Louisville, KY",-85.7584557,38.2526647,13473
"152","Pueblo, CO",-104.6091409,38.2544472,329
"153","Charleston/Dunbar, WV",-81.7373485,38.3606509,2789
"154","Santa Rosa, CA",-122.7140548,38.440429,1482
"155","Belleville, IL",-89.9839935,38.5200504,324
"156","Gunnison, CO",-106.9253207,38.5458246,183
"157","Sacramento, CA",-121.4943996,38.5815719,45838
"158","St. Louis, MO",-90.1994042,38.6270025,59350
"159","Montrose/Delta, CO",-108.0300893,38.7030605,920
"160","Colorado Springs, CO",-104.8213634,38.8338816,9707
"161","Salina, KS",-97.6114237,38.8402805,56
"162","Hays, KS",-99.3267702,38.8791783,664
"163","Washington, DC",-77.0368707,38.9071923,138488
"164","Columbia, MO",-92.3340724,38.9517053,1338
"165","Grand Junction, CO",-108.5506486,39.0638705,2877
"166","Kansas City, MO",-94.5785667,39.0997265,48337
"167","Cincinnati, OH",-84.5120196,39.1031182,29328
"168","Manhattan/Ft. Riley, KS",-96.5716694,39.1836082,1435
"169","Aspen, CO",-106.8175387,39.1910983,6260
"170","Baltimore, MD",-76.6121893,39.2903848,103437
"171","Atlantic City, NJ",-74.4229266,39.3642834,3444
"172","Clarksburg/Fairmont, WV",-80.1425781,39.4850848,373
"173","Reno, NV",-119.8138027,39.5296329,16590
"174","Hagerstown, MD",-77.7199932,39.6417629,35
"175","Eagle, CO",-106.8286507,39.6552634,1795
"176","Denver, CO",-104.990251,39.7392358,226778
"177","Dayton, OH",-84.1916069,39.7589478,8333
"178","Indianapolis, IN",-86.158068,39.768403,34035
"179","Springfield, IL",-89.6501481,39.7817213,1295
"180","Quincy, IL",-91.4098726,39.9356016,384
"181","Philadelphia, PA",-75.1652215,39.9525839,85047
"182","Columbus, OH",-82.9987942,39.9611755,30986
"183","Champaign/Urbana, IL",-88.2433829,40.1164204,762
"184","Trenton, NJ",-74.759717,40.2205824,2149
"185","Provo, UT",-111.6585337,40.2338438,169
"186","Harrisburg, PA",-76.8867008,40.2731911,4263
"187","Latrobe, PA",-79.3794811,40.3211808,1057
"188","Pittsburgh, PA",-79.9958864,40.4406248,35199
"189","Hayden, CO",-107.2636842,40.4894302,1131
"190","Bloomington/Normal, IL",-88.9906312,40.5142026,2537
"191","Redding, CA",-122.3916754,40.5865396,1065
"192","Allentown/Bethlehem/Easton, PA",-75.441415,40.651834,2854
"193","Peoria, IL",-89.5889864,40.6936488,3653
"194","New York, NY",-74.0059728,40.7127753,218826
"195","Islip, NY",-73.2103934,40.7298207,5923
"196","Newark, NJ",-74.1723667,40.735657,123906
"197","Salt Lake City, UT",-111.8910474,40.7607793,112248
"198","State College, PA",-77.8600012,40.7933949,1494
"199","Lincoln, NE",-96.7025955,40.813616,2526
"200","Elko, NV",-115.7631232,40.8324211,660
"201","Grand Island, NE",-98.3420118,40.9263957,533
"202","Arcata/Eureka, CA",-124.1065825,40.9709197,1204
"203","White Plains, NY",-73.7629097,41.0339862,7685
"204","Fort Wayne, IN",-85.1393513,41.079273,6144
"205","Akron, OH",-81.5190053,41.0814447,6180
"206","North Platte, NE",-100.7601454,41.1402759,150
"207","Ogden, UT",-111.9738304,41.223,55
"208","Youngstown/Warren, OH",-80.8184166,41.2375569,2
"209","Omaha, NE",-95.9345034,41.2565369,20869
"210","Nantucket, MA",-70.099451,41.2834704,665
"211","Scranton/Wilkes-Barre, PA",-75.9927652,41.2981769,2407
"212","New Haven, CT",-72.9278835,41.308274,344
"213","Laramie, WY",-105.5911007,41.3113669,624
"214","Martha's Vineyard, MA",-70.645473,41.3804981,241
"215","Cleveland, OH",-81.6943605,41.49932,40705
"216","Moline, IL",-90.5151342,41.5067003,3658
"217","Rock Springs, WY",-109.2029043,41.5874644,673
"218","Des Moines, IA",-93.6091064,41.6005448,10464
"219","Newburgh/Poughkeepsie, NY",-73.7477857,41.6230989,1516
"220","Hyannis, MA",-70.2881124,41.6524911,94
"221","Toledo, OH",-83.5378674,41.6528052,942
"222","South Bend, IN",-86.2519898,41.6763545,5653
"223","Hartford, CT",-72.6733723,41.7658043,23966
"224","Providence, RI",-71.4128343,41.8239891,15390
"225","Scottsbluff, NE",-103.6671662,41.8666341,155
"226","Chicago, IL",-87.6297982,41.8781136,375211
"227","Cedar Rapids/Iowa City, IA",-104.990251,41.9778795,6878
"228","Binghamton, NY",-75.9179738,42.0986867,874
"229","Erie, PA",-80.085059,42.1292241,1369
"230","Elmira/Corning, NY",-76.893638,42.15987,288
"231","Worcester, MA",-71.8022934,42.2625932,718
"232","Rockford, IL",-89.0939952,42.2711311,258
"233","Kalamazoo, MI",-85.5872286,42.2917069,2341
"234","Medford, OR",-122.8755949,42.3265152,3852
"235","Detroit, MI",-83.0457538,42.331427,137387
"236","Boston, MA",-71.0588801,42.3600825,131539
"237","Ithaca/Cortland, NY",-76.5002026,42.4383677,1002
"238","Waterloo, IA",-92.3425775,42.492786,647
"239","Sioux City, IA",-96.4049408,42.4963416,397
"240","Dubuque, IA",-90.6645718,42.5005583,343
"241","Twin Falls, ID",-114.4700518,42.5558381,1169
"242","Albany, NY",-73.7562317,42.6525793,10548
"243","Lansing, MI",-84.5555347,42.732535,2576
"244","Casper, WY",-106.3251749,42.8500769,811
"245","Pocatello, ID",-112.4506191,42.8621042,1068
"246","Buffalo, NY",-78.8783689,42.8864468,20374
"247","Grand Rapids, MI",-85.6680863,42.9633599,12662
"248","Manchester, NH",-71.4547891,42.9956397,7738
"249","Flint, MI",-83.6874562,43.0125274,4107
"250","Milwaukee, WI",-87.9064736,43.0389025,30961
"251","Syracuse, NY",-76.1474244,43.0481221,8781
"252","Portsmouth, NH",-70.7625532,43.0717552,117
"253","Madison, WI",-89.4012302,43.0730517,10001
"254","Niagara Falls, NY",-79.0377388,43.0962143,608
"255","Rochester, NY",-77.6088465,43.1565779,9693
"256","Muskegon, MI",-86.2483921,43.2341813,686
"257","North Bend/Coos Bay, OR",-124.2242803,43.4065012,326
"258","Jackson, WY",-110.7624282,43.4799291,3725
"259","Idaho Falls, ID",-112.0407584,43.4926607,2455
"260","Saginaw/Bay City/Midland, MI",-84.081498,43.538647,2711
"261","Sioux Falls, SD",-96.7311034,43.5445959,4990
"262","Boise, ID",-116.2023137,43.6150186,17288
"263","Portland, ME",-70.2568189,43.6590993,7327
"264","Sun Valley/Hailey/Ketchum, ID",-114.3311763,43.6761518,1277
"265","La Crosse, WI",-91.2519017,43.8137751,2096
"266","Rochester, MN",-92.4801989,44.0121221,3117
"267","Eugene, OR",-123.0867536,44.0520691,4149
"268","Rapid City, SD",-103.2310149,44.0805434,3545
"269","Bend/Redmond, OR",-121.299079,44.1617823,3902
"270","Appleton, WI",-88.4153847,44.2619309,3325
"271","Gillette, WY",-105.5022205,44.2910915,976
"272","Burlington, VT",-73.212072,44.4758825,5036
"273","Green Bay, WI",-88.0132958,44.5133188,4425
"274","Cody, WY",-109.0565308,44.5263422,991
"275","West Yellowstone, MT",-111.1041092,44.6621493,232
"276","Ogdensburg, NY",-75.4863364,44.6942291,68
"277","Plattsburgh, NY",-73.4529124,44.6994873,561
"278","Traverse City, MI",-85.6206317,44.7630567,3272
"279","Mosinee, WI",-89.7031784,44.7930232,1704
"280","Bangor, ME",-68.7712257,44.8016128,1894
"281","Eau Claire, WI",-91.4984941,44.811349,687
"282","Minneapolis, MN",-93.2650108,44.977753,143233
"283","Alpena, MI",-83.4327528,45.0616794,623
"284","Aberdeen, SD",-98.4864829,45.4646985,728
"285","Portland, OR",-122.6587185,45.5122308,63687
"286","Pellston, MI",-84.7839364,45.552789,1024
"287","St. Cloud, MN",-94.1632404,45.5579451,71
"288","Rhinelander, WI",-89.4120753,45.6366228,726
"289","Bozeman, MT",-111.0429339,45.6769979,5555
"290","Escanaba, MI",-87.0645801,45.7452466,625
"291","Billings, MT",-108.5006904,45.7832856,3670
"292","Iron Mountain/Kingsfd, MI",-88.0720706,45.7949561,676
"293","Butte, MT",-112.5347775,46.0038232,675
"294","Pasco/Kennewick/Richland, WA",-119.119948,46.2086683,3804
"295","Brainerd, MN",-94.2020084,46.3526733,637
"296","Lewiston, ID",-117.001189,46.4004089,759
"297","Sault Ste. Marie, MI",-84.3475876,46.4977115,676
"298","Marquette, MI",-87.3955954,46.5475825,1010
"299","Helena, MT",-112.0391057,46.5891452,1670
"300","Duluth, MN",-92.1004852,46.7866719,2724
"301","Bismarck/Mandan, ND",-100.8895761,46.8266603,2909
"302","Missoula, MT",-113.9940314,46.8721284,2481
"303","Fargo, ND",-96.7898034,46.8771863,4141
"304","Jamestown, ND",-98.7084357,46.9105438,987
"305","Hancock/Houghton, MI",-88.5809563,47.1268714,727
"306","Hibbing, MN",-92.9376887,47.4271546,624
"307","Bemidji, MN",-94.8826861,47.471573,727
"308","Great Falls, MT",-111.3007715,47.5052849,1636
"309","Seattle, WA",-122.3320708,47.6062095,139132
"310","Spokane, WA",-117.4260465,47.6587802,12143
"311","Grand Forks, ND",-97.0328547,47.9252568,1568
"312","Devils Lake, ND",-98.8651202,48.112779,624
"313","Williston, ND",-103.6179745,48.1469683,1326
"314","Kalispell, MT",-114.316813,48.1919889,2369
"315","Minot, ND",-101.2922906,48.2329668,1957
"316","International Falls, MN",-93.4040679,48.6023149,625
"317","Bellingham, WA",-122.4786854,48.7519112,1381
"318","Adak Island, AK",-176.6217472,51.7615874,103
"319","Ketchikan, AK",-131.6461112,55.3422222,2426
"320","Wrangell, AK",-132.3766666,56.4708333,726
"321","Petersburg, AK",-132.9555556,56.8125,726
"322","Sitka, AK",-135.33,57.0530556,1344
"323","Kodiak, AK",-152.4072221,57.79,645
"324","Juneau, AK",-134.4197221,58.3019444,4429
"325","Gustavus, AK",-135.7369443,58.4133333,84
"326","King Salmon, AK",-156.661351,58.6883251,63
"327","Dillingham, AK",-158.4575,59.0397222,84
"328","Yakutat, AK",-139.7272808,59.5469878,724
"329","Cordova, AK",-145.7525414,60.5424087,724
"330","Bethel, AK",-161.7558334,60.7922222,919
"331","Anchorage, AK",-149.9002778,61.2180556,17449
"332","Nome, AK",-165.4063889,64.5011111,718
"333","Fairbanks, AK",-147.7163888,64.8377778,3603
"334","Kotzebue, AK",-162.5966666,66.8983333,720
"335","Deadhorse, AK",-148.4597191,70.2001996,763
"336","Barrow, AK",-156.788611,71.2905556,833
